Fund Name,Date,Name of Stock,Type,CUSIP,Value,Shares
Adirondack_Funds,2013-05-06,ABBOTT LABS,COM,002824100,241,6825
Adirondack_Funds,2013-05-06,ABBVIE INC,COM,00287Y109,278,6825
Adirondack_Funds,2013-05-06,AERCAP HOLDINGS NV,SHS,N00985106,1326,85810
Adirondack_Funds,2013-05-06,AEROPOSTALE,COM,007865108,925,67987
Adirondack_Funds,2013-05-06,ALBANY MOLECULAR RESH INC,COM,012423109,1199,114083
Adirondack_Funds,2013-05-06,ALCATEL-LUCENT,SPO,013904305,588,441740
Adirondack_Funds,2013-05-06,ALLSCRIPTS HEALTHCARE SOLUTN,COM,01988P108,2592,190749
Adirondack_Funds,2013-05-06,ALTEVA,COM,02153V102,201,21875
Adirondack_Funds,2013-05-06,ASSURED GUARANTY LTD,COM,G0585R106,1847,89600
Adirondack_Funds,2013-05-06,AT&T INC,COM,00206R102,512,13950
Adirondack_Funds,2013-05-06,AUTOBYTEL INC,COM,05275N205,1156,266423
Adirondack_Funds,2013-05-06,AXT INC,COM,00246W103,850,288999
Adirondack_Funds,2013-05-06,BEBE STORES INC,COM,075571109,1275,305808
Adirondack_Funds,2013-05-06,BENCHMARK ELECTRS INC,COM,08160H101,1501,83288
Adirondack_Funds,2013-05-06,BOSTON SCIENTIFIC CORP,COM,101137107,520,66525
Adirondack_Funds,2013-05-06,BOULDER BRANDS INC,COM,101405108,1272,141450
Adirondack_Funds,2013-05-06,BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,1644,66200
Adirondack_Funds,2013-05-06,BROCADE COMMUNICATIONS SYS I,COM,111621306,2345,406400
Adirondack_Funds,2013-05-06,BROOKLINE BANCORP INC DEL,COM,11373M107,1843,201674
Adirondack_Funds,2013-05-06,CAL MAINE FOODS INC,COM,128030202,740,17398
Adirondack_Funds,2013-05-06,CALLAWAY GOLF CO,COM,131193104,2295,346608
Adirondack_Funds,2013-05-06,CHRISTOPHER & BANKS CORP,COM,171046105,663,103163
Adirondack_Funds,2013-05-06,CNO FINL GROUP INC,COM,12621E103,3028,264478
Adirondack_Funds,2013-05-06,COCA COLA BOTTLING CO CONS,COM,191098102,1924,31895
Adirondack_Funds,2013-05-06,COCA COLA ENTERPRISES INC NE,COM,19122T109,500,13550
Adirondack_Funds,2013-05-06,COEUR D ALENE MINES CORP IDA,COM,192108504,1043,55291
Adirondack_Funds,2013-05-06,COMVERSE INC,COM,20585P105,964,34368
Adirondack_Funds,2013-05-06,CONSOLIDATED EDISON INC,COM,209115104,311,5100
Adirondack_Funds,2013-05-06,COSI INC,COM,22122P101,560,811498
Adirondack_Funds,2013-05-06,COVANTA HLDG CORP,COM,22282E102,1499,74400
Adirondack_Funds,2013-05-06,COWEN GROUP INC NEW,CL,223622101,1769,627160
Adirondack_Funds,2013-05-06,CRYOLIFE INC,COM,228903100,1414,235288
Adirondack_Funds,2013-05-06,CTS CORP,COM,126501105,1966,188312
Adirondack_Funds,2013-05-06,DOLE FOOD CO INC NEW,COM,256603101,1820,166940
Adirondack_Funds,2013-05-06,DYNEGY INC NEW,COM,26817R108,1264,52708
Adirondack_Funds,2013-05-06,ELECTRO SCIENTIFIC INDS,COM,285229100,737,66723
Adirondack_Funds,2013-05-06,EMCOR GROUP INC,COM,29084Q100,2731,64434
Adirondack_Funds,2013-05-06,EMULEX CORP,COM,292475209,1333,204207
Adirondack_Funds,2013-05-06,ENDURANCE SPECIALTY HLDGS LT,SHS,G30397106,2116,44258
Adirondack_Funds,2013-05-06,EXELON CORP,COM,30161N101,506,14680
Adirondack_Funds,2013-05-06,EXPRESS INC,COM,30219E103,763,42860
Adirondack_Funds,2013-05-06,FIRSTMERIT CORP,COM,337915102,2303,139243
Adirondack_Funds,2013-05-06,FRESH DEL MONTE PRODUCE INC,ORD,G36738105,1560,57836
Adirondack_Funds,2013-05-06,GAIAM INC,CL,36268Q103,1115,265370
Adirondack_Funds,2013-05-06,GENERAL ELECTRIC CO,COM,369604103,401,17325
Adirondack_Funds,2013-05-06,GENWORTH FINL INC COM,COM,37247D106,3193,319300
Adirondack_Funds,2013-05-06,GFI GROUP INC,COM,361652209,119,35603
Adirondack_Funds,2013-05-06,GLOBAL POWER EQUIPMENT GRP I,COM,37941P306,2406,136566
Adirondack_Funds,2013-05-06,HARDINGE INC,COM,412324303,1356,99510
Adirondack_Funds,2013-05-06,HARTFORD FINL SVCS GROUP INC,COM,416515104,561,21725
Adirondack_Funds,2013-05-06,HOOPER HOLMES INC,COM,439104100,892,1939156
Adirondack_Funds,2013-05-06,HUNTSMAN CORP,COM,447011107,520,27950
Adirondack_Funds,2013-05-06,IAC INTERACTIVECORP,COM,44919P508,2046,45799
Adirondack_Funds,2013-05-06,INTRALINKS HLDGS INC,COM,46118H104,1701,267377
Adirondack_Funds,2013-05-06,IPASS INC,COM,46261V108,1270,641245
Adirondack_Funds,2013-05-06,JANUS CAP GROUP INC,COM,47102X105,2206,234668
Adirondack_Funds,2013-05-06,JOHNSON & JOHNSON,COM,478160104,204,2500
Adirondack_Funds,2013-05-06,JOURNAL COMMUNICATIONS INC,CL,481130102,2786,414619
Adirondack_Funds,2013-05-06,KEYNOTE SYS INC,COM,493308100,1108,79395
Adirondack_Funds,2013-05-06,KROGER CO,COM,501044101,316,9525
Adirondack_Funds,2013-05-06,LSI INDS INC,COM,50216C108,1793,256891
Adirondack_Funds,2013-05-06,MATRIX SVC CO,COM,576853105,1181,79282
Adirondack_Funds,2013-05-06,METLIFE INC,COM,59156R108,490,12900
Adirondack_Funds,2013-05-06,MICROSOFT CORP,COM,594918104,256,8960
Adirondack_Funds,2013-05-06,MONDELEZ INTL INC,CL,609207105,256,8350
Adirondack_Funds,2013-05-06,MONTPELIER RE HOLDINGS LTD,SHS,G62185106,1500,57600
Adirondack_Funds,2013-05-06,MORGAN STANLEY,COM,617446448,404,18375
Adirondack_Funds,2013-05-06,MYERS INDS INC,COM,628464109,616,44108
Adirondack_Funds,2013-05-06,NISOURCE INC,COM,65473P105,431,14700
Adirondack_Funds,2013-05-06,NN INC,COM,629337106,1188,125571
Adirondack_Funds,2013-05-06,OMEGA PROTEIN CORP,COM,68210P107,2105,195806
Adirondack_Funds,2013-05-06,OWENS & MINOR INC NEW,COM,690732102,2414,74151
Adirondack_Funds,2013-05-06,PAN AMERICAN SILVER CORP,COM,697900108,907,55400
