Name,Authors,Reviews
temaki,Melanie C.,"I'm writing this review as I finish the last bite of my Hamachi Golden-ratio Tare. \n\nThe hand rolls here are incredible. So fresh tasting. I got the negi yellowtail, Hamachi golden ratio tare (as stated above), the uni, and the wagyu shabu. I have to say the uni was so clean and wasn't extremely briney. The wagyu also melted in your mouth. I highly recommend you eat the rolls immediately as they are handed to you, or you won't be able enjoy the full experience of the roll. They also toast the nori so that adds another incredible element to the roll. I can really appreciate the simplicity of the hand rolls as it allows the fish or meat being served to really shine. I have been searching for a truly authentic Japanese sushi experience since we moved here in January and I've finally found it! I can't stand those rolls drowning in sauce and inauthentic sushi ingredients. Thank you all for an amazing dining experience! I definitely will be back!"
,Lili T.,"J WATA!!! I've never been to a restaurant and experienced this type of dining experience before and I really enjoyed it! I can't lie - I took advantage of the BOGO Grand Opening deal!\n\nI went once with my friend's deal and we got the Go which included 5 handrolls per person - Maine Lobster, Spicy Tuna, Negi Salmon, Scallops, and Blue Crab. It was so delicious, I went again the next day with my little brother! I love that each handroll is made right in front of us and the seaweed is roasted over the open flame. They tell us to be sure to try and eat it quickly so that we can experience the crunch of the nori - YUM is all I can say! Having that crunch of the nori is the added bonus to a well crafted roll! \n\nRanking the rolls from my most favorite to least favorite: Maine Lobster, Negi Salmon, Spicy Tuna and Blue Crab tied, and scallops. I don't absolutely LOVE the scallops with mayo which is why I ranked it as my least favorite. All rolls are crafted with hot rice and rolled like a burrito style rather than a cone. \n\nOur service was top notch and I'm excited to come back here when I'm back in town - however, it is kind of pricey without the deal!"
,Tiffanie L.,"Pretty comparable to Kazu Nori in LA!\n\nI ordered the Shi (4) and got the Blue Crab, Negi Yellowtail, Spicy Salmon and Bay Scallop. I really enjoyed every hand roll on this set menu. I liked the fact that they added green onion to the yellowtail so it gave the roll a nice crunch. The Blue Crab and Bay Scallop had the perfect amount of mayo and it wasn't overly creamy! \n\nPricing: A little over $16 for 4\nParking: private lot + street parking"
,Jimmy D.,3.5 Stars\n\nCool concept as you can easily drop in for a handroll or few.  Rolls came out fairly quick after ordering and they only make one at a time for you so that it is eaten fresh.\n\nThe rice is fairly warm and the nori was lightly toasted for a slight crisp on the first few bites.  The raw seafood was fresh and prepared well.  I got the \
,Desmond F.,"4.5 stars\n\nA premium hand roll experience, everything is made fresh and just before you eat it. One can get rolls a la carte or there are there are set menus San (3) Shi (4) and Go (5) and if you're not picky is the way to go to get the price breaks. We ordered two Go sets and a few a la cart to try everything we wanted. In the end we tried the Maine Lobster, Bay Scallop, Spicy toro, Negi Salmon, Blue Crab, Shabu Wagyu Beef and Unagi.\n\nEverything was very good, what stood out to me was the smoky crunchiness of the nori. It starts out lovingly flame kissed and then only when it is warmed and toasted is it used.  Most places the nori is a mass produced after thought, there just for the structural integrity of the roll or handroll. But here it is your introduction, the beautiful edible wrapping paper of a tasty gift to your palate. \n\nOf the 7 rolls I had the opportunity to try the blue crab was the one that stood out to me. After the first bite the flavor hit me as a reminder of how a premium Japanese taste experience is really just a moment of simple yet eye opening tranquility. It was just a fleeting few bites but so awakening. \n\nJ/Wata is not for all, the wait will invariably be long because of the limited seating (I counted about 20) so a large party will not do well here. It is also located in the my least favorite part of Convoy, the Parking lot from hell. Even with the set menus it is expensive for the amount of food your are getting. Perhaps not the most effective price point is reached here but transcendence comes at a cost and I'm glad there exists those who reach for that, even for a few bites."
,Theresa N.,"Hubby and I were so excited to check out this place last weekend, we got there 45 minutes before opening to get in line, lol.  I can officially say that was probably not necessary, as other people didn't actually show up until maybe 15-20 minutes prior.  Alas however, our over-achievement paid off!\n\nSeating in this place is limited.  Maybe about 15-20 people inside at a time I think.  You get seated around where all the action is and they make your temaki right there!  You can order the temaki by sets, or a la carte.  We decided to go with Set Go (5), which includes:  Maine lobster, blue crab. spicy toro, negi salmon and bay scallop.  Also ordered the hamachi sashimi as well as the uni ikura temaki.\n\nLet me tell you, eat the roll as soon as they hand it to you.  They are tasty and fresh as hell.  Like, complete melt-in-your-mouth goodness.  Everything in the ingredients, down to the rice, is perfection.   Also, they use premium soy sauce, which is superb with the rolls.  You'll wonder why you never ate them like this before!\n\nI joked with the hubby and said I could eat this everyday.  I haven't, but have been several times this past week =P.  Take all my money already, Junya!!"
,Grace S.,"Came here for their grand opening week 3 to get the opportunity to utilize their BOGO, and chose their \"
,Jasmine C.,"I love that convoy is opening all these new restaurants. J wata sells premium hand rolls. Their menu is set and they will not adjust unless you have allergies. \n\nTbh, this is my first hand roll experience so I don't have anything to compare it to but it was good!\nMy friend and I signed up for their grand opening BOGO special through Facebook. It's happening the weekend of 7/13-7/15 and 7/20-7/22. \n\nThe interior of the place is simple and I really liked the art of the wall. There's limited seatings so the wait can take some time. Each hand roll is made fresh and the chefs don't make the next one until you're done with the one in front of you. It's best to eat it quickly or the seaweed will soften and makes it harder to bite \n\nI ordered the \"
,Tiffany T.,Neat concept. The \
,Jiaxin G.,"I got the weekend one grand opening BOGO special so  we used it for our lunch on Sunday afternoon. We got there around 1:50 and there's a line of about 10 people waiting already. It's not too bad even though we waited a little more than half an hour cause we were able to get some boba tea while we waited. \n\nThe restaurant have only about 22 seats but the turn over was decent. There were two chiefs making hand rolls for everyone. I feel like this temaki bar is not so much for hanging out. It just doesn't feel right to keep the seats for a long time while there's a line waiting outside the restaurant.\n\nAnyways, we got the \"
